,date,exid,weight,reps,notes,bpart
10,2020-12-12,39,126.0,12,,chest
11,2020-12-12,39,126.0,9,,chest
12,2020-12-12,39,126.0,6,,chest
13,2020-12-12,59,40.0,12,,bicep
14,2020-12-12,59,50.0,12,,bicep
15,2020-12-12,59,50.0,12,,bicep
16,2020-12-12,41,106.0,11,,chest
17,2020-12-12,41,106.0,8,,chest
18,2020-12-12,41,106.0,6,,chest
19,2020-12-12,94,50.0,15,,tricep
20,2020-12-12,94,50.0,12,,tricep
21,2020-12-12,94,50.0,8,,tricep
22,2020-12-12,29,10.0,10,,rsdelt
23,2020-12-12,29,10.0,8,,rsdelt
24,2020-12-12,29,10.0,8,,rsdelt
25,2020-12-11,6,-60.0,10,,back
26,2020-12-11,6,-60.0,8,,back
27,2020-12-11,91,50.0,12,,back
28,2020-12-11,91,50.0,10,,back
29,2020-12-11,91,50.0,8,,back
30,2020-12-11,31,30.0,8,,back
31,2020-12-11,31,30.0,8,,back
32,2020-12-11,12,70.0,12,,bicep
33,2020-12-11,12,70.0,6,Too heavy - narrower hold more bicep,bicep
34,2020-12-11,12,60.0,8,,bicep
35,2020-12-11,20,15.0,8,,bicep
36,2020-12-11,20,12.0,10,,bicep
37,2020-12-11,20,12.0,8,,bicep
38,2020-12-10,53,245.0,10,,quad
39,2020-12-10,53,245.0,8,,quad
40,2020-12-10,53,245.0,6,,quad
41,2020-12-10,69,95.0,8,,ham
42,2020-12-10,69,95.0,8,,ham
43,2020-12-10,69,95.0,6,,ham
44,2020-12-10,81,110.0,10,,calf
45,2020-12-10,81,110.0,8,,calf
46,2020-12-10,81,90.0,10,,calf
47,2020-12-10,81,90.0,8,,calf
48,2020-12-09,39,126.0,8,2/3,chest
49,2020-12-09,39,126.0,6,2,chest
50,2020-12-09,39,116.0,8,Just right,chest
51,2020-12-09,59,40.0,12,3/4 RIR first exercise,bicep
52,2020-12-09,59,40.0,10,3,bicep
53,2020-12-09,59,40.0,8,3,bicep
54,2020-12-09,41,106.0,8,,chest
55,2020-12-09,41,96.0,8,,chest
56,2020-12-09,41,86.0,8,3,chest
57,2020-12-09,94,50.0,10,,tricep
58,2020-12-09,94,50.0,8,,tricep
59,2020-12-09,94,50.0,6,,tricep
60,2020-12-09,29,10.0,12,,rsdelt
61,2020-12-09,29,10.0,10,Single arm 1/2,rsdelt
62,2020-12-09,29,10.0,6,1/2,rsdelt
63,2020-12-08,6,-70.0,3,,back
64,2020-12-08,6,-60.0,10,,back
65,2020-12-08,6,-60.0,10,,back
66,2020-12-08,91,50.0,12,,back
67,2020-12-08,91,50.0,10,,back
68,2020-12-08,91,50.0,8,,back
69,2020-12-08,31,35.0,8,,back
70,2020-12-08,31,30.0,8,,back
71,2020-12-08,38,35.0,10,,bicep
72,2020-12-08,38,35.0,8,,bicep
73,2020-12-08,38,35.0,5,,bicep
74,2020-12-08,20,20.0,5,,bicep
75,2020-12-08,20,15.0,10,,bicep
76,2020-12-08,20,15.0,8,,bicep
