0,1,2,3,4,5
2020-11-28,6,110.0,12,,back
2020-11-28,6,110.0,10,,back
2020-11-28,6,110.0,8,,back
2020-11-28,60,55.0,13,,back
2020-11-28,60,55.0,10,,back
2020-11-28,60,45.0,15,,back
2020-11-28,91,50.0,10,,back
2020-11-28,91,50.0,8,,back
2020-11-28,90,45.0,8,,bicep
2020-11-28,90,45.0,8,,bicep
2020-11-28,12,70.0,10,,bicep
2020-11-28,12,60.0,12,,bicep
2020-11-28,20,15.0,13,,bicep
2020-11-28,20,15.0,11,,bicep
2020-11-27,93,70.0,12,,chest
2020-11-27,93,70.0,11,,chest
2020-11-27,93,70.0,10,,chest
2020-11-27,58,40.0,12,,fdelt
2020-11-27,58,40.0,12,,fdelt
2020-11-27,41,50.0,8,,chest
2020-11-27,41,40.0,12,,chest
2020-11-27,41,40.0,10,,chest
2020-11-27,3,110.0,14,,tricep
2020-11-27,3,110.0,12,,tricep
2020-11-27,3,110.0,10,,tricep
2020-11-27,14,10.0,10,,tricep
2020-11-27,14,10.0,10,,tricep
2020-11-27,14,10.0,10,,tricep
2020-11-27,29,10.0,12,,rsdelt
2020-11-27,29,10.0,12,,rsdelt
2020-11-27,29,10.0,10,,rsdelt
2020-11-26,53,245.0,12,,quad
2020-11-26,53,245.0,10,,quad
2020-11-26,53,245.0,8,,quad
2020-11-26,82,70.0,12,,quad
2020-11-26,82,70.0,10,,quad
2020-11-26,82,70.0,8,,quad
2020-11-26,55,0.0,12,,quad
2020-11-26,55,0.0,10,,quad
2020-11-26,55,0.0,8,,quad
2020-11-26,75,70.0,14,,ham
2020-11-26,75,70.0,12,,ham
2020-11-26,75,70.0,10,,ham
2020-11-26,81,110.0,10,,calf
2020-11-26,81,110.0,8,,calf
2020-11-26,81,90.0,10,,calf
2020-11-26,81,90.0,10,,calf
2020-11-25,6,110.0,10,,back
2020-11-25,6,110.0,10,,back
2020-11-25,6,110.0,8,,back
2020-11-25,60,55.0,20,,back
2020-11-25,60,55.0,15,,back
2020-11-25,60,55.0,13,,back
2020-11-25,33,30.0,10,,rsdelt
2020-11-25,33,30.0,10,,rsdelt
2020-11-25,33,30.0,10,,rsdelt
2020-11-25,12,70.0,13,,bicep
2020-11-25,12,70.0,10,,bicep
2020-11-25,12,60.0,12,,bicep
2020-11-25,20,15.0,13,,bicep
2020-11-25,20,15.0,11,,bicep
2020-11-25,20,15.0,10,,bicep
2020-11-24,93,70.0,10,,chest
2020-11-24,93,70.0,10,,chest
2020-11-24,93,70.0,10,,chest
2020-11-24,58,50.0,10,,fdelt
2020-11-24,58,50.0,10,,fdelt
2020-11-24,41,25.0,10,,chest
2020-11-24,41,25.0,10,,chest
2020-11-24,41,25.0,10,,chest
2020-11-24,3,110.0,12,,tricep
2020-11-24,3,110.0,11,,tricep
2020-11-24,3,110.0,10,,tricep
2020-11-24,14,10.0,10,,tricep
2020-11-24,14,10.0,10,,tricep
2020-11-24,29,10.0,12,,rsdelt
2020-11-24,29,10.0,11,,rsdelt
2020-11-24,29,10.0,10,,rsdelt
